Merk,Model,Tahun Produksi,Jarak Tempuh,Warna,Engine CC,Transmission,Seat Capacity,Harga,Fuel Type,Umur Mobil
Ferrari,458,2013.0,16891.0,Red,4497.0,Automatic,2.0,6500000000.0,Petrol,12.0
Bmw,M850I,2019.0,7300.0,Blue,4395.0,Automatic,4.0,3450000000.0,Petrol,6.0
Bmw,X7,2021.0,3500.0,Black,2998.0,Automatic,7.0,2175000000.0,Petrol,4.0
Bmw,323I,2000.0,60000.0,Blue,2494.0,Automatic,5.0,129000000.0,Petrol,25.0
Hummer,H2,2004.0,56000.0,Black,5967.0,Automatic,5.0,1750000000.0,Petrol,21.0
Mercedes,Benz,2020.0,2500.0,Black,5980.0,Automatic,5.0,8500000000.0,Petrol,5.0
Land,Rover,2022.0,2000.0,Black,2995.0,Automatic,5.0,3650000000.0,Petrol,3.0
Ford,Mustang,2019.0,5000.0,Green,5038.0,Automatic,4.0,3099999999.0,Petrol,6.0
Land,Rover,2019.0,4800.0,Black,2995.0,Automatic,5.0,2999999999.0,Petrol,6.0
Toyota,Alphard,2020.0,28300.0,White,2494.0,Automatic,7.0,1175000000.0,Petrol,5.0
Bmw,730Li,2021.0,2000.0,Black,1998.0,Automatic,5.0,1950000000.0,Petrol,4.0
Ferrari,California,2013.0,10000.0,Yellow,4297.0,Automatic,4.0,3800000000.0,Petrol,12.0
Mercedes,Benz,2017.0,17300.0,Black,2996.0,Automatic,5.0,1350000000.0,Petrol,8.0
Toyota,Land,2019.0,24500.0,Black,4461.0,Automatic,8.0,2350000000.0,Diesel,6.0
Toyota,Land,2019.0,3300.0,Brown,4461.0,Automatic,8.0,1975000000.0,Diesel,6.0
Ferrari,California,2013.0,3500.0,Red,4297.0,Automatic,4.0,4200000000.0,Petrol,12.0
Toyota,Land,2019.0,2500.0,Brown,4500.0,Manual,11.0,1975000000.0,Diesel,6.0
Mini,Cabrio,2019.0,4454.0,Blue,1998.0,Automatic,4.0,735000000.0,Petrol,6.0
Toyota,Veloz,2022.0,57500.0,Silver,1496.0,Automatic,7.0,232000000.0,Petrol,3.0
Mercedes,Benz,2016.0,22500.0,White,1595.0,Automatic,5.0,315000000.0,Petrol,9.0
Toyota,Alphard,2015.0,27500.0,White,2494.0,Automatic,7.0,468000000.0,Petrol,10.0
Bmw,X5,2017.0,97500.0,Black,2979.0,Automatic,5.0,430000000.0,Petrol,8.0
Mercedes,Benz,2018.0,7500.0,Black,2999.0,Automatic,5.0,799000000.0,Petrol,7.0
Toyota,Alphard,2018.0,47500.0,Black,2494.0,Automatic,7.0,455000000.0,Petrol,7.0
Toyota,Alphard,2020.0,97500.0,Black,2494.0,Automatic,7.0,488000000.0,Petrol,5.0
Land,Rover,2007.0,57500.0,Black,4196.0,Automatic,5.0,405000000.0,Petrol,18.0
Toyota,Vios,2021.0,77500.0,Black,1496.0,Automatic,5.0,173000000.0,Petrol,4.0
Mercedes,Benz,2020.0,47500.0,Black,1332.0,Automatic,7.0,438000000.0,Petrol,5.0
Daihatsu,Xenia,2015.0,197500.0,White,989.0,Manual,7.0,97500000.0,Petrol,10.0
Honda,Hr,2016.0,82500.0,Black,1799.0,Automatic,5.0,180000000.0,Petrol,9.0
Toyota,Avanza,2020.0,112500.0,White,1496.0,Manual,7.0,160000000.0,Petrol,5.0
Nissan,X,2014.0,87500.0,Grey,1997.0,Automatic,7.0,120000000.0,Petrol,11.0
Toyota,Nav1,2015.0,117500.0,Black,1987.0,Automatic,7.0,140000000.0,Petrol,10.0
Toyota,Vellfire,2019.0,87500.0,Black,2494.0,Automatic,7.0,620000000.0,Petrol,6.0
Toyota,Avanza,2024.0,2500.0,Black,1496.0,Automatic,7.0,265000000.0,Petrol,1.0
Honda,Cr,2019.0,92500.0,Grey,1498.0,Automatic,5.0,274000000.0,Petrol,6.0
Mitsubishi,Xpander,2020.0,57500.0,Silver,1499.0,Automatic,7.0,180000000.0,Petrol,5.0
Honda,Hr,2019.0,47500.0,Grey,1497.0,Automatic,5.0,195000000.0,Petrol,6.0
Toyota,Rush,2021.0,107500.0,White,1496.0,Automatic,7.0,185000000.0,Petrol,4.0
Nissan,Grand,2013.0,67500.0,Silver,1498.0,Automatic,7.0,87000000.0,Petrol,12.0
Daihatsu,Gran,2023.0,17500.0,Black,1298.0,Manual,9.0,128500000.0,Petrol,2.0
Toyota,Corolla,2021.0,82500.0,Black,1798.0,Automatic,5.0,264000000.0,Petrol,4.0
Mitsubishi,Xforce,2024.0,7500.0,White,1499.0,Automatic,5.0,283000000.0,Petrol,1.0
Toyota,Kijang,2019.0,67500.0,Black,1998.0,Automatic,7.0,245000000.0,Petrol,6.0
Mg,Hs,2022.0,52500.0,Red,1490.0,Automatic,5.0,242000000.0,Petrol,3.0
Toyota,Voxy,2023.0,22500.0,Black,1986.0,Automatic,7.0,465000000.0,Petrol,2.0
